"","996","1170","1173","2209","2339","3892","4767","5101","5798","6556"
"1",0,0,0,0,0,0,0,0,0,0
"2",1,0,0,1,1,0,1,1,0,1
"3",1,1,1,0,1,1,1,0,1,0
"4",1,1,1,0,1,1,1,1,1,0
"5",1,1,1,0,0,1,0,1,1,0
"6",1,1,1,1,1,1,1,0,1,0
"7",1,1,1,1,1,1,1,1,1,0
"8",1,1,1,1,1,1,1,1,1,0
"9",1,1,1,1,1,1,1,1,1,0
"10",1,1,1,1,1,1,1,1,1,0
"11",1,1,1,1,1,1,1,1,1,0
"12",1,1,1,1,1,1,1,1,1,0
"13",1,0,0,1,1,0,1,1,0,1
"14",0,1,1,1,1,1,1,1,1,1
"15",0,1,1,1,1,1,1,1,1,1
"16",0,1,1,0,1,1,0,0,1,0
"17",0,0,0,1,1,1,1,1,1,1
"18",0,1,1,1,1,1,1,0,1,1
"19",0,1,1,1,1,1,1,1,0,0
"20",0,1,1,1,0,1,1,1,0,1
"21",0,1,1,1,1,1,0,1,0,1
"22",0,1,1,1,1,1,1,1,1,0
"23",1,1,1,1,1,1,1,0,1,1
"24",1,0,0,1,1,0,1,1,0,1
"25",1,1,1,0,1,1,1,1,1,1
"26",1,1,1,1,1,1,1,1,1,1
"27",1,1,1,1,1,1,0,1,1,1
"28",1,0,0,0,1,1,1,0,1,0
"29",1,1,1,1,1,1,1,1,1,0
"30",1,1,1,0,1,1,1,1,1,0
"31",1,1,1,1,0,1,1,1,1,0
"32",1,1,1,1,0,1,0,0,1,0
"33",0,1,1,1,0,1,1,1,1,1
"34",0,1,1,0,0,1,1,1,0,1
"35",1,0,0,1,1,0,1,1,0,1
"36",0,1,1,0,0,1,1,0,1,1
"37",0,1,1,0,0,1,1,1,0,0
"38",0,1,1,1,0,1,0,1,1,1
"39",1,1,1,1,0,1,1,0,1,1
"40",1,1,1,1,0,1,1,1,1,1
"41",1,1,1,1,0,1,1,1,1,1
"42",1,1,1,1,0,1,1,0,1,1
"43",0,1,1,1,1,1,1,1,1,1
"44",1,1,1,0,1,1,1,1,1,1
"45",1,0,0,1,1,1,1,1,1,1
"46",1,0,0,1,1,0,1,1,0,1
"47",1,1,1,1,1,1,0,1,1,1
"48",1,1,1,1,1,1,1,1,1,0
"49",1,1,1,1,1,1,1,1,1,0
"50",1,1,1,0,1,1,1,1,1,1
"51",1,1,1,0,1,1,1,0,1,1
"52",1,1,1,1,1,1,1,1,1,1
"53",1,1,1,1,0,1,1,1,1,1
"54",1,1,1,1,1,1,1,1,1,1
"55",1,1,1,1,1,1,1,1,1,1
"56",1,0,0,1,1,1,0,1,1,1
"57",1,0,0,1,1,0,1,1,0,1
"58",0,1,1,0,1,1,0,1,0,0
"59",1,1,1,0,1,1,0,0,1,1
"60",1,1,1,1,1,1,0,1,1,1
