,0,1,2,3,4
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,1,1
6,0,0,0,0,0
7,0,0,0,0,1
8,0,0,0,0,1
9,0,0,0,0,1
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,1
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,1,1
20,0,0,0,0,0
21,0,0,0,1,1
22,0,0,0,1,1
23,0,0,0,1,1
24,0,0,0,1,1
25,0,0,0,1,1
26,0,1,0,1,1
27,0,1,0,1,1
28,0,0,0,1,0
29,0,1,0,1,0
30,0,1,0,1,0
31,0,0,0,0,0
32,0,0,0,0,1
33,0,0,0,0,1
34,0,0,0,0,1
35,0,0,0,0,0
36,0,0,0,1,0
37,0,0,0,0,1
38,0,0,0,0,1
39,1,0,0,0,1
40,0,0,0,1,1
41,0,0,0,1,1
42,0,0,0,1,1
43,0,0,0,1,1
44,1,0,0,0,0
45,1,0,0,0,0
46,1,0,0,0,0
47,1,0,0,0,0
48,0,0,0,1,1
49,0,0,0,1,0
50,0,0,0,0,0
51,0,0,0,1,0
52,0,0,0,1,1
53,0,0,0,1,1
54,0,0,0,1,1
55,0,0,0,1,1
56,0,0,0,1,1
57,0,0,0,1,1
58,0,0,0,1,1
59,0,0,0,1,1
60,0,0,0,1,1
61,0,0,0,1,1
62,0,0,0,1,1
63,0,0,0,1,1
64,0,0,0,1,0
65,0,0,0,1,0
66,0,0,0,1,0
67,0,0,0,1,0
68,1,0,0,0,0
69,1,0,0,0,0
70,1,0,0,0,0
71,1,0,0,0,0
72,0,0,0,1,1
73,0,0,0,1,1
74,0,0,0,1,1
75,0,0,0,1,1
76,0,0,0,1,1
77,0,0,0,1,1
78,0,0,0,1,1
79,0,0,0,1,1
80,0,0,0,1,1
81,0,0,0,1,1
82,0,0,0,1,1
83,0,0,0,1,1
84,0,0,0,1,0
85,0,0,0,1,0
86,0,0,0,1,0
87,0,0,0,1,0
88,0,0,0,1,1
89,0,0,0,1,1
90,0,0,0,1,1
91,0,0,0,1,1
92,0,0,0,1,1
93,0,0,0,1,1
94,0,0,0,1,1
95,0,0,0,1,1
96,0,0,0,1,1
97,0,0,0,1,1
98,0,0,0,1,1
99,0,0,0,1,1
100,0,0,0,1,0
101,0,0,0,1,0
102,0,0,0,1,0
103,0,0,0,1,0
104,1,0,0,0,0
105,1,0,0,0,0
106,1,0,0,0,0
107,1,0,0,0,0
108,0,0,0,1,0
109,0,0,0,1,1
110,0,0,0,1,0
111,0,0,0,0,0
112,0,1,0,1,0
113,0,1,0,1,0
114,0,1,0,1,0
115,0,1,0,1,0
116,0,1,0,1,1
117,0,1,0,1,1
118,0,1,0,1,1
119,0,1,0,1,1
120,0,0,0,1,1
121,0,0,0,1,1
122,0,0,0,1,1
123,0,0,0,1,1
124,0,0,0,1,1
125,0,0,0,1,1
126,0,0,0,1,1
127,0,0,0,1,1
128,0,1,0,0,0
129,0,1,0,0,0
130,0,1,0,0,0
131,0,1,0,0,0
132,0,0,0,1,0
133,0,0,1,1,0
134,0,0,0,1,0
135,0,0,0,1,0
136,0,0,0,1,1
137,0,0,0,1,0
138,0,0,0,1,1
139,0,0,0,1,1
140,1,0,0,0,0
141,1,0,0,0,1
142,1,0,0,0,0
143,1,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,1,1
149,0,0,0,1,1
150,0,0,0,1,1
151,0,0,0,1,1
152,0,1,0,1,1
153,0,1,0,1,1
154,0,1,0,1,1
155,0,1,0,1,1
156,0,0,0,1,0
157,0,0,0,1,0
158,0,0,0,1,0
159,0,0,0,1,0
160,0,1,0,1,1
161,0,1,0,1,1
162,0,1,0,1,1
163,0,1,0,1,1
164,0,1,0,1,1
165,0,1,0,0,1
166,0,1,0,0,1
167,0,1,0,0,0
168,0,0,0,1,1
169,0,0,0,1,1
170,0,0,0,1,1
171,0,0,0,1,1
172,0,0,0,0,1
173,0,0,0,0,1
174,0,0,0,0,1
175,0,0,0,0,1
176,0,0,0,1,1
177,0,0,0,1,1
178,0,0,0,1,1
179,0,0,0,1,1
180,0,0,0,0,1
181,0,0,0,0,1
182,0,0,0,0,1
183,0,0,0,0,1
184,0,0,0,1,1
185,0,0,0,1,1
186,0,0,0,1,1
187,0,0,0,1,1
188,0,1,0,1,1
189,0,1,0,1,1
190,0,1,0,1,1
191,0,1,0,1,1
192,0,0,0,1,0
193,0,0,0,1,0
194,0,0,0,1,0
195,0,0,0,1,0
196,0,1,0,1,1
197,0,1,0,1,1
198,0,1,0,1,1
199,0,0,0,1,1
200,0,0,0,1,1
201,0,0,0,1,0
202,0,0,0,1,1
203,0,0,0,1,0
204,0,0,0,1,0
205,0,0,0,1,0
206,0,0,0,1,0
207,0,0,0,1,0
208,0,0,0,1,0
209,0,0,0,1,0
210,0,0,0,1,0
211,0,0,0,1,1
212,0,0,0,1,0
213,0,0,0,1,0
214,0,0,0,1,0
215,0,0,0,1,0
216,0,0,0,0,1
217,0,0,0,0,1
218,0,0,0,0,1
219,0,0,0,0,1
220,0,0,0,1,1
221,0,0,0,1,1
222,0,0,0,1,1
223,0,0,0,1,1
224,0,0,0,1,1
225,0,0,0,1,1
226,0,0,0,1,1
227,0,0,0,1,1
228,0,0,0,1,1
229,0,0,0,1,1
230,0,0,0,1,1
231,0,0,0,1,1
232,0,0,0,1,1
233,0,0,0,1,1
234,0,0,0,1,1
235,0,0,0,1,1
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,0,1,0
241,0,0,0,1,0
242,0,0,0,1,0
243,0,0,0,1,0
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0,0,0,0,0
248,0,0,0,1,0
249,0,0,0,0,1
250,0,0,0,0,1
251,1,0,0,0,1
252,0,0,0,1,0
253,0,0,0,1,0
254,0,0,0,1,1
255,0,0,0,1,1
256,0,0,0,1,1
257,0,0,0,1,1
258,1,0,0,0,0
259,1,0,0,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,1,1
263,0,0,0,1,1
264,0,0,0,1,0
265,0,0,0,1,0
266,1,0,0,0,0
267,1,0,0,0,0
268,0,0,0,0,0
269,0,0,0,0,0
270,0,0,0,1,0
271,0,0,0,1,0
272,0,0,0,1,1
273,0,0,0,1,1
274,0,0,0,1,1
275,0,0,0,1,1
276,1,0,0,0,0
277,1,0,0,0,0
278,0,0,0,0,0
279,1,0,0,0,0
280,0,0,0,1,1
281,0,0,0,1,1
282,0,0,0,1,0
283,0,0,0,1,0
284,1,0,0,0,0
285,1,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,1,0,0,0,1
289,0,0,0,0,1
290,0,0,0,0,1
291,0,0,0,0,1
292,0,0,0,1,1
293,0,0,0,1,1
294,0,0,0,0,1
295,0,0,0,0,1
296,0,1,0,0,0
297,0,1,0,0,0
298,0,0,0,0,0
299,0,0,0,1,1
300,0,0,0,1,1
301,0,0,0,1,1
302,1,0,0,1,1
303,1,0,0,1,1
304,0,0,0,1,1
305,1,0,0,1,1
306,0,1,0,1,1
307,0,1,0,1,1
308,0,1,0,1,1
309,0,1,0,1,1
310,0,0,0,1,0
311,0,0,0,1,0
312,0,1,0,1,1
313,0,1,0,1,1
314,0,1,0,1,1
315,0,1,0,0,1
316,0,0,0,1,1
317,0,0,0,1,1
318,0,0,0,1,1
319,0,0,0,1,1
320,0,0,0,1,1
321,0,0,0,1,1
322,0,0,0,0,1
323,0,0,0,0,1
324,0,1,0,1,1
325,0,1,0,1,1
326,0,1,0,1,1
327,0,1,0,1,1
328,0,0,0,1,0
329,0,0,0,1,0
330,0,1,0,1,1
331,0,1,0,1,1
332,0,1,0,0,1
333,0,1,0,0,1
334,0,0,0,1,1
335,0,0,0,1,1
336,0,0,0,1,1
337,0,0,0,1,1
338,0,0,0,1,1
339,0,0,0,1,1
340,0,0,0,1,1
341,0,0,0,1,1
342,1,0,0,1,0
343,1,0,0,1,0
344,1,0,0,1,0
345,1,0,0,1,0
346,1,0,0,1,0
347,1,0,0,1,1
348,1,0,0,0,0
349,1,0,0,0,0
350,0,0,0,0,0
351,0,0,0,0,0
352,1,0,0,1,1
353,0,0,0,1,1
354,0,0,0,1,1
355,0,0,0,1,1
356,1,0,0,0,0
357,1,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
